"filename", "language", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\agregar-usuario\agregar-usuario.component.ts", "TypeScript", 15, 0, 0, 2, 17
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\data.service.ts", "TypeScript", 3, 0, 0, 0, 3
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\deudas-extraordinarias\deudas-extraordinarias.component.html", "HTML", 0, -1, 1, 0, 0
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\deudas\deudas.component.html", "HTML", 0, -2, 2, 0, 0
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\invitacion\invitacion.component.html", "HTML", 0, -3, 0, 1, -2
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\invitacion\invitacion.component.ts", "TypeScript", -2, 0, 1, 0, -1
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\mis-deudas\mis-deudas.component.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\propiedades\propiedades.component.html", "HTML", 0, 4, 0, 1, 5
"c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Pos'Final\Proyecto-WEB-2-master\Proyecto-WEB-2-master\src\app\propiedades\propiedades.component.ts", "TypeScript", 2, 0, 0, 2, 4
"Total", "-", 19, -2, 4, 6, 27